user_id,month_idx,income,total_expense,savings,savings_rate,food_expense,rent_expense,transport_expense,shopping_expense,health_expense,entertainment_expense,education_expense,other_expense,habit_completion_rate,task_completion_rate,mood_index,life_score,risk_class,target_next_month_expense
3,8,121200.0,98951.0,22249.0,0.1836,28518.46,27433.33,14162.32,5926.56,9482.77,6914.54,4142.73,2370.28,0.7487,0.612,0.7156,46,Moderate,97121.85
3,9,121200.0,95482.31,25717.69,0.2122,33025.57,33688.35,12092.02,14364.91,7907.21,9809.6,4168.53,4774.12,0.6523,0.7158,0.711,47,Moderate,100570.4
3,10,121200.0,98489.25,22710.75,0.1874,30971.65,37004.01,8677.48,13378.45,3000.38,4165.56,4520.2,4924.46,0.6632,0.6967,0.622,45,Moderate,97439.23
3,11,121200.0,102093.16,19106.84,0.1576,30525.72,28489.28,8734.08,10900.48,3211.78,9743.06,3838.39,6650.37,0.5969,0.8659,0.7922,46,Moderate,105173.37
3,12,122400.0,95270.23,27129.77,0.2216,23246.2,27106.43,12226.33,17322.39,5439.42,8534.7,4486.56,4763.51,0.6749,0.7412,0.7261,48,Moderate,95228.52
3,13,122400.0,83877.16,38522.84,0.3147,23778.26,24345.2,12578.76,9451.96,4704.71,4935.11,4319.12,4193.86,0.816,0.7109,0.7421,56,Low,80560.84
3,14,122400.0,92871.65,29528.35,0.2412,24150.2,33330.73,10984.06,15528.99,8879.68,9754.15,2500.0,4643.58,0.7508,0.7847,0.7856,52,Moderate,92928.57
3,15,122400.0,91146.47,31253.53,0.2553,18497.96,28515.67,8714.88,8738.3,5573.05,6078.7,2578.24,12449.67,0.658,0.7691,0.6713,50,Moderate,94483.1
3,16,122400.0,95032.41,27367.59,0.2236,19812.21,26106.1,11959.53,17493.27,4236.56,3968.71,5587.32,5868.71,0.5982,0.7715,0.6331,47,Moderate,92928.26
3,17,122400.0,87529.02,34870.98,0.2849,20096.19,34928.02,11370.76,8713.85,5318.86,7778.39,1911.05,4376.45,0.6266,0.8842,0.7927,53,Moderate,82742.9
3,18,123600.0,103682.72,19917.28,0.1611,29399.48,27959.91,10105.74,11118.78,4632.73,7623.56,4852.84,7989.68,0.6176,0.7227,0.7265,43,Moderate,104563.46
3,19,123600.0,94098.04,29501.96,0.2387,32439.08,24267.03,8180.23,10335.76,5822.81,10948.45,7509.61,4704.9,0.6214,0.8117,0.746,49,Moderate,95867.72
3,20,123600.0,99227.57,24372.43,0.1972,30554.85,26780.53,13983.09,10662.46,4491.89,4600.71,4495.07,3658.99,0.8033,0.7993,0.83,52,Moderate,97319.33
3,21,123600.0,87233.45,36366.55,0.2942,28405.2,25808.96,8590.58,4674.56,3613.78,8408.35,6368.4,1363.61,0.7958,0.7771,0.7101,56,Moderate,85150.13
3,22,123600.0,89138.17,34461.83,0.2788,29065.13,28259.54,10696.55,17238.8,4143.88,6337.03,4386.87,4456.91,0.6514,0.7703,0.7582,51,Moderate,92672.43
3,23,123600.0,97110.02,26489.98,0.2143,28198.67,24396.31,12975.91,12404.11,4489.99,10976.63,7692.48,4855.5,0.7182,0.8547,0.8073,52,Moderate,95033.07
4,0,120000.0,88257.28,31742.72,0.2645,28109.33,25511.81,8783.24,10476.69,5444.7,6088.35,3209.18,633.98,0.5616,0.458,0.5318,40,Moderate,91295.49
4,1,120000.0,82360.46,37639.54,0.3137,22155.79,28610.74,9757.45,7543.38,2786.82,5387.07,2093.77,4025.43,0.4883,0.3946,0.3536,38,Moderate,83989.03
4,2,120000.0,75616.87,44383.13,0.3699,20214.29,20813.62,9007.45,13786.58,3477.4,5528.53,5820.87,3780.84,0.5274,0.5505,0.5153,46,Moderate,77069.51
4,3,120000.0,89678.96,30321.04,0.2527,25131.73,28880.78,7176.98,14163.62,4939.16,4349.87,4891.37,145.45,0.3787,0.5422,0.4724,36,Moderate,92136.62
4,4,120000.0,95815.0,24185.0,0.2015,24821.21,37586.99,13282.51,18161.67,9580.27,7497.67,6351.96,4790.75,0.4088,0.5118,0.4859,34,Moderate,99697.01
4,5,120000.0,93623.16,26376.84,0.2198,29646.34,24347.39,10132.63,10387.46,7600.17,9248.63,6652.0,4681.16,0.5871,0.5153,0.4696,40,Moderate,93010.03
4,6,121200.0,87877.67,33322.33,0.2749,20312.44,29010.27,8517.57,16764.25,3512.38,9134.87,2442.08,4393.88,0.4653,0.3407,0.3483,34,Moderate,90428.69
4,7,121200.0,81120.58,40079.42,0.3307,21048.85,30126.08,8061.47,9975.94,2605.76,5274.8,3540.82,486.87,0.5286,0.3974,0.3685,40,Moderate,79090.39
4,8,121200.0,85899.54,35300.46,0.2913,21515.49,22804.42,7527.0,10287.47,3601.52,9655.48,5079.15,5429.01,0.6308,0.3455,0.4395,40,Moderate,90213.39
4,9,121200.0,93295.03,27904.97,0.2302,31504.16,25612.1,7523.37,4994.56,7201.23,4947.62,1971.02,9540.97,0.5543,0.5302,0.5654,40,Moderate,90682.06
4,10,121200.0,84796.95,36403.05,0.3004,22381.94,26525.75,7017.8,16035.78,6111.97,9338.21,2653.18,4239.85,0.4597,0.2788,0.3958,34,Moderate,88369.65
4,11,121200.0,82585.66,38614.34,0.3186,28321.56,32140.51,10290.88,8180.78,6463.63,7896.45,2372.15,4129.28,0.439,0.5128,0.3788,40,Moderate,82173.57
4,12,122400.0,81116.18,41283.82,0.3373,21687.2,31438.82,11911.06,10998.77,7260.02,8464.17,2723.23,4055.81,0.4693,0.5247,0.5273,42,Moderate,84990.74
4,13,122400.0,80658.66,41741.34,0.341,17265.14,23404.13,10949.95,9450.14,7857.84,3768.21,5817.78,2145.47,0.4749,0.5234,0.4613,42,Moderate,83340.35
4,14,122400.0,93659.57,28740.43,0.2348,29568.28,24160.18,10209.76,5600.78,4211.53,7752.28,2227.2,9929.56,0.6275,0.5363,0.6501,42,Moderate,95961.58
4,15,122400.0,79542.04,42857.96,0.3501,20775.68,29745.35,7543.49,11547.97,4769.49,7643.29,5874.14,3977.1,0.6076,0.417,0.4615,44,Low,77679.77
4,16,122400.0,77689.52,44710.48,0.3653,24404.34,25734.38,10225.49,8678.23,6003.79,5814.86,2964.86,3884.48,0.5685,0.3092,0.4707,41,Moderate,73551.31
4,17,122400.0,88121.42,34278.58,0.2801,26947.89,28773.43,10760.78,16204.81,6836.05,9357.47,6954.97,4406.07,0.6059,0.554,0.6307,44,Moderate,86725.1
4,18,123600.0,89434.22,34165.78,0.2764,30819.04,28124.06,12347.11,11621.3,8088.87,9344.83,5257.94,4471.71,0.5887,0.3496,0.4052,38,Moderate,89840.77
4,19,123600.0,91804.85,31795.15,0.2572,32119.59,26858.32,11917.4,15539.2,8196.05,5470.57,6048.28,4590.24,0.6411,0.2964,0.5204,38,Moderate,95541.34
4,20,123600.0,95483.16,28116.84,0.2275,23641.04,29231.75,13499.95,17445.21,3790.58,5808.71,6253.45,4774.16,0.4831,0.353,0.3357,33,Moderate,98090.87
4,21,123600.0,80381.69,43218.31,0.3497,16793.22,27532.6,10154.7,11792.18,3022.79,7229.44,5380.39,4019.08,0.4387,0.3518,0.4378,37,Moderate,79203.39
4,22,123600.0,84302.35,39297.65,0.3179,26858.82,24009.75,8606.56,7665.67,4354.75,9886.44,4700.36,4215.12,0.5217,0.3366,0.417,38,Moderate,81986.89
4,23,123600.0,90303.92,33296.08,0.2694,21503.74,22804.43,10918.83,6748.99,8467.89,9060.66,2388.36,8411.04,0.6117,0.4985,0.5645,42,Moderate,89052.28
5,0,25000.0,18235.37,6764.63,0.2706,3750.87,6634.96,2268.14,3000.37,814.06,1001.03,1046.08,911.77,0.7503,0.4863,0.5561,46,Moderate,19227.22
5,1,25000.0,21757.12,3242.88,0.1297,5551.41,6569.1,3154.62,4327.58,1899.98,2416.11,828.77,1087.86,0.5288,0.6517,0.6265,37,Moderate,21859.76
5,2,25000.0,20684.91,4315.09,0.1726,4818.47,8224.96,1987.0,1788.05,1461.01,1306.1,502.61,596.71,0.6015,0.4871,0.6291,37,Moderate,20999.03
5,3,25000.0,19938.5,5061.5,0.2025,5318.36,6300.24,2880.7,3345.32,1336.96,2161.93,1210.89,996.93,0.5915,0.6749,0.6341,43,Moderate,20208.92
5,4,25000.0,19395.15,5604.85,0.2242,5175.69,5426.5,2477.7,1176.86,1399.86,1446.36,808.43,1483.76,0.6308,0.6014,0.6822,44,Moderate,19853.78
5,5,25000.0,21168.46,3831.54,0.1533,6250.11,7614.0,2927.18,3451.57,1141.04,1557.24,1273.47,1058.42,0.7433,0.5877,0.624,43,Moderate,21766.65
5,6,25250.0,22375.32,2874.68,0.1138,5977.04,8746.38,3054.37,2822.34,1229.92,1704.1,888.13,1118.77,0.5993,0.5239,0.6408,36,Moderate,23344.33
5,7,25250.0,20519.46,4730.54,0.1873,6831.14,7170.56,1823.79,1801.86,1754.83,1781.78,468.25,1025.97,0.6518,0.3932,0.4489,37,Moderate,20522.59
5,8,25250.0,22094.51,3155.49,0.125,7466.6,6356.8,3307.39,1734.89,922.28,1147.23,1275.9,1104.73,0.5724,0.5579,0.5917,36,Moderate,21502.43
5,9,25250.0,19248.48,6001.52,0.2377,4142.01,6208.94,2764.56,2847.01,1586.65,770.58,463.0,465.72,0.755,0.4643,0.646,44,Moderate,18238.51
5,10,25250.0,21293.5,3956.5,0.1567,7358.17,5553.39,2291.93,3637.36,1015.43,1065.23,979.79,1064.68,0.5449,0.5029,0.6058,35,Moderate,22725.36
5,11,25250.0,19496.79,5753.21,0.2279,4093.2,4959.57,2507.41,1617.87,834.59,1312.76,818.87,3352.52,0.7191,0.5013,0.6427,44,Moderate,20832.79
5,12,25500.0,21416.13,4083.87,0.1602,7158.48,7766.92,1730.43,1087.4,1746.61,993.8,1540.84,1070.81,0.6983,0.5467,0.5438,41,Moderate,20747.02
5,13,25500.0,19285.08,6214.92,0.2437,6284.4,6245.35,1636.58,3100.11,1761.49,1868.87,695.57,964.25,0.5133,0.4311,0.486,37,Moderate,20508.18
5,14,25500.0,21012.38,4487.62,0.176,6293.55,5557.0,2402.8,1719.63,1882.52,1345.96,1475.21,335.7,0.6511,0.3909,0.4803,37,Moderate,20440.37
5,15,25500.0,22175.01,3324.99,0.1304,4638.92,7054.61,2773.49,2743.42,1368.62,1830.12,1266.49,499.34,0.5704,0.4183,0.4705,33,Moderate,21053.22
5,16,25500.0,19726.75,5773.25,0.2264,5744.66,6422.39,1933.32,2822.86,1895.38,1630.32,449.56,986.34,0.5228,0.419,0.3829,36,Moderate,18811.73
5,17,25500.0,20685.01,4814.99,0.1888,5579.63,7870.32,2275.34,2061.39,1532.46,1579.58,866.28,1034.25,0.5146,0.4019,0.4272,33,Moderate,21037.35
5,18,25750.0,21255.9,4494.1,0.1745,7027.26,6334.9,2576.96,3383.67,1053.56,1682.11,1194.42,1062.8,0.752,0.6253,0.6336,46,Moderate,20210.23
5,19,25750.0,21550.46,4199.54,0.1631,6197.83,7410.6,2843.8,4121.22,1444.91,1792.88,1534.1,1077.52,0.778,0.6291,0.7557,46,Moderate,21138.49
5,20,25750.0,20484.88,5265.12,0.2045,4754.56,5934.15,1942.83,1834.64,1787.26,1104.7,1377.64,1749.08,0.5513,0.3965,0.3748,35,Moderate,21515.79
5,21,25750.0,21280.53,4469.47,0.1736,5333.6,6745.94,2003.83,3326.9,1556.13,2221.59,1434.18,1064.03,0.4868,0.4298,0.5489,33,Moderate,20250.91
5,22,25750.0,19452.55,6297.45,0.2446,6381.72,5274.75,2899.1,1562.98,845.64,2037.38,980.75,972.63,0.6134,0.5423,0.5462,42,Moderate,18512.31
5,23,25750.0,19659.86,6090.14,0.2365,4663.9,5001.03,2627.87,1139.09,1891.66,2230.25,1045.97,1060.08,0.7266,0.4362,0.559,43,Moderate,20967.99
6,0,250000.0,148854.03,101145.97,0.4046,33483.21,45415.41,12123.99,14242.68,13632.34,6669.58,11743.74,11543.07,0.7401,0.7584,0.8254,59,Low,153108.93
6,1,250000.0,149031.99,100968.01,0.4039,39759.25,52959.29,17311.15,7469.28,10008.41,7090.97,11780.49,2653.16,0.7663,0.8212,0.7191,61,Low,152867.47
6,2,250000.0,156791.45,93208.55,0.3728,40000.3,41202.78,14214.22,17675.58,6920.52,14468.13,4213.42,18096.51,0.6688,0.6691,0.6547,53,Low,147638.65
6,3,250000.0,166179.32,83820.68,0.3353,44032.8,51993.8,21881.22,15964.93,8368.41,18430.91,6812.53,8308.97,0.7621,0.8252,0.8005,58,Low,169319.11
6,4,250000.0,173976.76,76023.24,0.3041,42410.84,48341.15,16017.62,20686.69,16488.97,14452.16,12191.58,3387.76,0.6259,0.7092,0.6347,50,Low,178014.81
6,5,250000.0,174412.11,75587.89,0.3024,49861.14,45916.71,21601.67,18812.43,7973.9,9224.11,10479.43,10542.71,0.68,0.6891,0.7353,51,Low,169596.6
6,6,252500.0,176070.61,76429.39,0.3027,35662.27,60261.08,22866.96,34322.71,13649.34,18255.31,12086.03,8803.53,0.6768,0.793,0.6549,53,Low,173543.84
6,7,252500.0,160194.67,92305.33,0.3656,48076.72,57768.39,14394.83,9402.33,8247.94,18081.32,4654.75,8009.73,0.8313,0.5737,0.7245,55,Low,165529.98
6,8,252500.0,188180.35,64319.65,0.2547,54816.22,66949.31,24100.04,27162.22,8674.3,19636.27,9466.88,9409.02,0.6582,0.755,0.6789,50,Moderate,184013.56
6,9,252500.0,182383.3,70116.7,0.2777,55175.12,70454.62,24476.23,21003.5,12461.87,18441.77,4600.69,9119.16,0.6507,0.8216,0.8338,52,Moderate,188502.83
6,10,252500.0,178840.99,73659.01,0.2917,40946.0,70741.82,21514.24,10497.57,17153.58,16294.62,5888.86,8942.05,0.7514,0.6637,0.7399,52,Moderate,189757.0
6,11,252500.0,163306.69,89193.31,0.3532,45581.72,57787.3,23728.08,20383.31,11935.74,18540.39,12730.95,8165.33,0.6149,0.7146,0.6462,52,Low,158790.86
6,12,255000.0,154005.6,100994.4,0.3961,40605.22,47456.22,13337.45,20100.37,12653.6,9134.54,8783.56,1934.64,0.6788,0.6328,0.6961,54,Low,150492.19
6,13,255000.0,167534.26,87465.74,0.343,39444.02,49468.72,19067.29,23556.2,16165.54,9009.97,11880.21,8376.71,0.6231,0.7252,0.6143,52,Low,159752.67
6,14,255000.0,171457.66,83542.34,0.3276,43253.18,56397.92,15569.31,12169.78,10866.02,9680.26,4479.28,19041.92,0.7342,0.7124,0.7412,54,Low,181780.44
6,15,255000.0,190111.65,64888.35,0.2545,54003.12,60787.19,28287.9,15863.13,5796.77,19732.98,10907.2,9505.58,0.6339,0.5732,0.6377,44,Moderate,202794.92
6,16,255000.0,165568.69,89431.31,0.3507,50871.63,62496.74,14741.24,18235.79,12046.77,13458.01,6600.29,8278.43,0.7553,0.6228,0.7865,54,Low,172047.45
6,17,255000.0,153684.11,101315.89,0.3973,33141.49,46986.61,19363.2,22183.91,7806.39,9350.76,7262.6,7589.14,0.6563,0.5978,0.6224,52,Low,158681.92
6,18,257500.0,182149.68,75350.32,0.2926,48441.46,64197.3,23614.95,35200.35,11644.6,13399.03,9486.52,9107.48,0.7828,0.5465,0.5693,50,Moderate,183478.54
6,19,257500.0,161880.61,95619.39,0.3713,42956.02,52499.54,21710.09,12865.65,11730.73,13476.99,9426.69,8094.03,0.5672,0.7081,0.5876,51,Moderate,170554.13
6,20,257500.0,188453.04,69046.96,0.2681,60403.17,62408.55,16642.06,34090.73,14404.44,20804.58,12893.12,9422.65,0.5709,0.6212,0.5214,44,Moderate,184721.32
6,21,257500.0,168423.23,89076.77,0.3459,54082.67,44599.48,21074.98,23041.15,6340.28,15550.49,6328.35,8421.16,0.6788,0.7544,0.6872,54,Low,175305.65
6,22,257500.0,185260.7,72239.3,0.2805,54541.37,69333.29,21388.56,27389.17,17756.46,12055.02,6488.58,9263.04,0.792,0.7148,0.7855,54,Moderate,187633.33
6,23,257500.0,167385.37,90114.63,0.35,35322.15,64108.0,24869.32,25877.13,15737.06,11853.24,8388.37,8369.27,0.8012,0.5469,0.5938,53,Low,164699.32
7,0,250000.0,213778.74,36221.26,0.1449,50849.66,82694.27,17132.1,16855.36,18285.19,25154.31,13981.37,10688.94,0.357,0.6594,0.5057,33,Moderate,217490.62
7,1,250000.0,197379.65,52620.35,0.2105,63993.95,67257.76,26344.08,19514.71,16267.93,8415.27,12172.82,9868.98,0.2007,0.7447,0.3816,34,Moderate,191826.11
7,2,250000.0,204927.56,45072.44,0.1803,58048.73,80931.19,23920.69,38796.82,9561.96,22600.56,8036.19,10246.38,0.2789,0.6714,0.5395,33,Moderate,197385.11
7,3,250000.0,193982.03,56017.97,0.2241,54618.06,67965.31,17149.7,24994.99,13311.01,7968.91,12015.29,9699.1,0.2769,0.8711,0.5849,40,Moderate,182344.39
7,4,250000.0,201840.05,48159.95,0.1926,52396.46,66321.36,22915.78,14943.81,16292.36,21750.5,5908.88,1310.9,0.2524,0.6334,0.4505,32,Moderate,213564.04
7,5,250000.0,214397.82,35602.18,0.1424,60322.76,82531.38,23516.68,34451.8,20532.38,12093.21,13390.48,10719.89,0.4523,0.5779,0.4292,34,Moderate,214560.55
7,6,252500.0,188025.7,64474.3,0.2553,47431.28,74586.29,15933.92,25715.42,13028.57,14219.87,13218.85,9401.29,0.4361,0.6923,0.4868,41,Moderate,193340.33
7,7,252500.0,190082.08,62417.92,0.2472,61437.77,64466.88,26501.6,36082.3,14513.58,13821.24,7589.59,9504.1,0.1908,0.795,0.5168,36,Moderate,197677.45
7,8,252500.0,198283.29,54216.71,0.2147,56295.97,72512.95,24701.27,25993.21,14899.12,12203.63,7817.97,9914.16,0.224,0.75,0.5277,35,Moderate,202084.56
