category,amount,frequency_deviation,day_of_month,is_weekend,is_anomaly,note
entertainment,339.16,1.18,28,1,0,Normal transaction in entertainment
shopping,13864.54,0.74,16,1,0,Normal transaction in shopping
health,663.86,1.26,21,0,0,Normal transaction in health
health,5074.65,1.33,19,0,0,Normal transaction in health
rent,37643.78,1.22,12,1,0,Normal transaction in rent
entertainment,1304.48,1.72,5,1,0,Normal transaction in entertainment
shopping,89752.18,6.8,27,1,1,Unusual high spike in shopping
food,2552.42,0.69,20,0,0,Normal transaction in food
entertainment,2194.62,0.61,4,1,0,Normal transaction in entertainment
other,3718.93,0.23,11,1,0,Normal transaction in other
health,5600.56,0.7,28,0,0,Normal transaction in health
food,1877.2,1.56,23,0,0,Normal transaction in food
shopping,2346.7,0.49,22,1,0,Normal transaction in shopping
health,37939.99,5.88,18,1,1,Unusual high spike in health
entertainment,2968.26,1.08,25,1,0,Normal transaction in entertainment
food,1491.94,1.43,7,0,0,Normal transaction in food
education,13153.14,0.7,5,1,0,Normal transaction in education
other,1238.01,0.82,25,0,0,Normal transaction in other
health,3698.94,1.64,9,1,0,Normal transaction in health
entertainment,1013.74,1.1,26,0,0,Normal transaction in entertainment
rent,9192.42,0.59,9,1,0,Normal transaction in rent
health,6487.55,1.13,3,1,0,Normal transaction in health
shopping,15781.35,0.2,19,1,0,Normal transaction in shopping
food,1747.42,1.22,2,0,0,Normal transaction in food
food,2295.73,0.55,20,0,0,Normal transaction in food
entertainment,19090.69,4.61,18,0,1,Unusual high spike in entertainment
food,1843.36,0.86,18,0,0,Normal transaction in food
shopping,16503.29,1.57,27,0,0,Normal transaction in shopping
other,918.58,1.57,21,0,0,Normal transaction in other
rent,11816.6,1.55,9,0,0,Normal transaction in rent
rent,121813.77,6.52,5,1,1,Unusual high spike in rent
rent,13449.5,1.32,9,1,0,Normal transaction in rent
shopping,5653.89,1.22,1,1,0,Normal transaction in shopping
entertainment,2676.62,1.16,4,0,0,Normal transaction in entertainment
shopping,16248.0,1.6,8,0,0,Normal transaction in shopping
entertainment,1466.2,0.52,9,0,0,Normal transaction in entertainment
health,641.82,0.68,17,0,0,Normal transaction in health
other,5321.82,0.77,9,0,0,Normal transaction in other
entertainment,2381.5,1.72,12,1,0,Normal transaction in entertainment
education,6999.35,0.43,10,1,0,Normal transaction in education
entertainment,9475.04,5.82,3,0,1,Unusual high spike in entertainment
health,966.27,0.9,18,1,0,Normal transaction in health
health,3095.89,1.72,25,1,0,Normal transaction in health
shopping,17924.5,1.09,27,0,0,Normal transaction in shopping
rent,141307.95,4.61,8,0,1,Unusual high spike in rent
shopping,15233.77,1.79,19,0,0,Normal transaction in shopping
food,9346.58,5.45,13,1,1,Unusual high spike in food
other,3664.56,0.71,17,0,0,Normal transaction in other
food,2641.8,1.29,24,1,0,Normal transaction in food
health,5914.11,0.95,25,1,0,Normal transaction in health
transport,4016.05,1.79,23,1,0,Normal transaction in transport
education,4329.93,1.02,19,1,0,Normal transaction in education
shopping,11665.48,0.64,9,0,0,Normal transaction in shopping
other,2126.08,0.59,1,0,0,Normal transaction in other
rent,5852.29,1.28,5,1,0,Normal transaction in rent
rent,8111.21,1.69,25,1,0,Normal transaction in rent
health,3376.05,1.47,10,0,0,Normal transaction in health
education,5411.19,0.54,10,0,0,Normal transaction in education
education,3619.06,1.37,5,1,0,Normal transaction in education
education,2603.52,0.51,6,1,0,Normal transaction in education
rent,16775.39,1.19,23,1,0,Normal transaction in rent
rent,17732.43,1.31,1,0,0,Normal transaction in rent
transport,2385.3,1.02,6,0,0,Normal transaction in transport
rent,12809.01,0.99,4,1,0,Normal transaction in rent
entertainment,1666.66,1.28,22,1,0,Normal transaction in entertainment
transport,3069.66,1.2,26,0,0,Normal transaction in transport
rent,21269.34,1.36,3,1,0,Normal transaction in rent
shopping,66942.15,3.28,4,0,1,Unusual high spike in shopping
health,4838.91,1.12,1,1,0,Normal transaction in health
education,22618.95,1.66,11,1,0,Normal transaction in education
health,4922.96,1.0,13,0,0,Normal transaction in health
health,608.06,0.5,4,0,0,Normal transaction in health
education,5835.0,1.26,4,1,0,Normal transaction in education
education,22209.16,0.57,7,0,0,Normal transaction in education
other,548.18,1.76,18,1,0,Normal transaction in other
health,4731.87,1.69,26,0,0,Normal transaction in health
entertainment,1569.78,1.24,17,1,0,Normal transaction in entertainment
shopping,2841.9,1.42,16,1,0,Normal transaction in shopping
rent,32274.89,0.67,25,1,0,Normal transaction in rent
food,2483.31,0.69,1,0,0,Normal transaction in food
rent,16025.71,1.75,3,0,0,Normal transaction in rent
shopping,10400.0,0.63,28,0,0,Normal transaction in shopping
education,21739.88,1.52,3,1,0,Normal transaction in education
other,2584.84,0.76,10,0,0,Normal transaction in other
entertainment,501.54,0.56,9,0,0,Normal transaction in entertainment
food,3394.28,0.81,20,1,0,Normal transaction in food
entertainment,1785.08,1.57,14,1,0,Normal transaction in entertainment
transport,1104.33,1.25,28,0,0,Normal transaction in transport
rent,11860.07,1.12,2,0,0,Normal transaction in rent
education,21827.57,1.47,22,0,0,Normal transaction in education
food,3493.99,0.25,14,0,0,Normal transaction in food
education,2002.84,0.64,20,1,0,Normal transaction in education
education,15771.81,1.69,15,0,0,Normal transaction in education
entertainment,326.41,0.98,22,0,0,Normal transaction in entertainment
food,3271.3,0.48,22,0,0,Normal transaction in food
food,782.68,1.75,18,0,0,Normal transaction in food
food,15837.19,3.64,21,1,1,Unusual high spike in food
shopping,4267.83,0.74,28,1,0,Normal transaction in shopping
other,28493.2,5.57,6,0,1,Unusual high spike in other
education,14419.3,0.73,15,1,0,Normal transaction in education
rent,31804.15,1.78,22,1,0,Normal transaction in rent
entertainment,2421.71,1.76,11,0,0,Normal transaction in entertainment
transport,4246.58,1.62,25,0,0,Normal transaction in transport
shopping,11417.64,0.84,17,0,0,Normal transaction in shopping
transport,2121.73,0.51,12,1,0,Normal transaction in transport
other,5628.83,1.02,20,1,0,Normal transaction in other
transport,2643.71,1.65,7,1,0,Normal transaction in transport
health,5354.44,0.59,28,1,0,Normal transaction in health
food,829.67,0.49,12,0,0,Normal transaction in food
shopping,16474.28,0.69,1,0,0,Normal transaction in shopping
education,129101.88,5.58,15,0,1,Unusual high spike in education
entertainment,1288.96,0.59,17,0,0,Normal transaction in entertainment
education,7116.27,0.27,25,0,0,Normal transaction in education
food,765.17,0.57,28,0,0,Normal transaction in food
health,35770.73,4.22,3,1,1,Unusual high spike in health
rent,21302.02,0.46,20,0,0,Normal transaction in rent
shopping,14164.08,0.72,11,1,0,Normal transaction in shopping
health,3085.72,1.06,12,1,0,Normal transaction in health
health,4066.48,0.92,1,1,0,Normal transaction in health
shopping,5328.51,0.73,1,0,0,Normal transaction in shopping
entertainment,978.34,1.68,16,1,0,Normal transaction in entertainment
rent,29654.92,1.69,8,1,0,Normal transaction in rent
health,3506.45,0.77,28,0,0,Normal transaction in health
shopping,16586.44,1.17,14,1,0,Normal transaction in shopping
transport,1940.74,0.7,14,1,0,Normal transaction in transport
other,1619.52,0.68,11,1,0,Normal transaction in other
food,285.07,1.25,3,0,0,Normal transaction in food
entertainment,623.27,1.25,11,0,0,Normal transaction in entertainment
health,821.39,1.13,11,1,0,Normal transaction in health
shopping,13416.5,0.76,1,1,0,Normal transaction in shopping
entertainment,2014.09,1.06,21,1,0,Normal transaction in entertainment
shopping,15248.05,1.46,5,0,0,Normal transaction in shopping
education,22856.0,1.48,25,0,0,Normal transaction in education
shopping,15158.15,1.18,20,0,0,Normal transaction in shopping
rent,34498.74,0.49,25,0,0,Normal transaction in rent
food,403.47,1.46,21,1,0,Normal transaction in food
transport,4185.4,1.49,3,1,0,Normal transaction in transport
education,23526.98,0.67,20,0,0,Normal transaction in education
education,17292.22,0.69,27,1,0,Normal transaction in education
transport,3997.37,1.32,4,1,0,Normal transaction in transport
shopping,648.43,0.6,3,1,0,Normal transaction in shopping
education,21909.44,1.12,28,1,0,Normal transaction in education
health,6344.88,0.24,20,1,0,Normal transaction in health
shopping,93670.58,4.28,9,0,1,Unusual high spike in shopping
food,1512.84,0.66,1,1,0,Normal transaction in food
rent,17738.66,1.78,26,0,0,Normal transaction in rent
shopping,12246.78,0.77,15,1,0,Normal transaction in shopping
education,145015.35,4.86,17,0,1,Unusual high spike in education
shopping,4916.23,1.68,21,1,0,Normal transaction in shopping
shopping,8965.85,1.46,24,0,0,Normal transaction in shopping
entertainment,608.39,0.7,6,0,0,Normal transaction in entertainment
rent,27019.41,1.75,21,1,0,Normal transaction in rent
entertainment,1224.59,0.86,9,0,0,Normal transaction in entertainment
shopping,13030.5,1.72,17,1,0,Normal transaction in shopping
entertainment,1857.23,1.18,1,1,0,Normal transaction in entertainment
education,21937.96,0.4,5,0,0,Normal transaction in education
entertainment,1621.38,0.8,22,1,0,Normal transaction in entertainment
entertainment,1410.52,0.55,4,1,0,Normal transaction in entertainment
health,977.53,0.64,15,1,0,Normal transaction in health
entertainment,2678.82,1.34,1,1,0,Normal transaction in entertainment
education,3436.54,1.71,5,0,0,Normal transaction in education
shopping,17921.6,0.55,13,1,0,Normal transaction in shopping
food,3301.02,1.04,10,1,0,Normal transaction in food
health,6523.93,0.79,25,0,0,Normal transaction in health
other,228.21,0.81,18,0,0,Normal transaction in other
rent,29284.28,0.44,10,1,0,Normal transaction in rent
food,728.51,1.05,9,1,0,Normal transaction in food
rent,28470.68,1.67,4,1,0,Normal transaction in rent
other,1783.95,0.43,20,1,0,Normal transaction in other
food,180.41,1.67,9,0,0,Normal transaction in food
transport,3891.82,1.02,7,1,0,Normal transaction in transport
rent,42078.64,0.46,7,1,0,Normal transaction in rent
other,659.27,0.9,4,1,0,Normal transaction in other
health,6011.36,0.21,15,0,0,Normal transaction in health
shopping,4801.21,1.48,17,1,0,Normal transaction in shopping
entertainment,447.39,1.5,6,1,0,Normal transaction in entertainment
health,1910.81,1.45,18,0,0,Normal transaction in health
shopping,11867.5,1.56,9,1,0,Normal transaction in shopping
rent,25893.89,1.18,11,0,0,Normal transaction in rent
transport,2884.33,1.29,27,1,0,Normal transaction in transport
other,3601.37,1.16,1,0,0,Normal transaction in other
education,16559.27,1.04,10,0,0,Normal transaction in education
shopping,13363.37,1.29,26,1,0,Normal transaction in shopping
shopping,14411.5,1.27,11,0,0,Normal transaction in shopping
other,3622.37,0.53,14,1,0,Normal transaction in other
rent,14573.69,0.23,18,1,0,Normal transaction in rent
food,991.14,0.64,4,0,0,Normal transaction in food
transport,436.48,0.67,3,0,0,Normal transaction in transport
entertainment,1506.92,0.85,15,0,0,Normal transaction in entertainment
transport,4185.33,0.63,12,0,0,Normal transaction in transport
food,1903.41,0.67,4,1,0,Normal transaction in food
health,5276.15,1.3,2,1,0,Normal transaction in health
rent,25086.61,0.22,5,0,0,Normal transaction in rent
entertainment,548.51,0.93,28,0,0,Normal transaction in entertainment
other,414.34,1.53,5,0,0,Normal transaction in other
entertainment,1289.79,0.7,27,1,0,Normal transaction in entertainment
health,3559.71,1.59,26,1,0,Normal transaction in health
health,4199.19,0.46,10,0,0,Normal transaction in health
other,24866.1,6.88,21,1,1,Unusual high spike in other
transport,1960.44,0.37,28,0,0,Normal transaction in transport
shopping,16837.14,0.67,20,0,0,Normal transaction in shopping
other,30107.14,3.58,24,0,1,Unusual high spike in other
health,2401.88,0.32,13,1,0,Normal transaction in health
education,21197.08,1.59,21,1,0,Normal transaction in education
food,2548.32,1.12,11,1,0,Normal transaction in food
entertainment,353.18,0.23,22,0,0,Normal transaction in entertainment
other,366.06,0.35,21,0,0,Normal transaction in other
health,1289.79,1.45,22,0,0,Normal transaction in health
health,4070.69,0.56,19,0,0,Normal transaction in health
food,1683.79,0.92,5,0,0,Normal transaction in food
transport,2341.62,1.52,4,0,0,Normal transaction in transport
shopping,8795.77,0.22,4,0,0,Normal transaction in shopping
rent,25459.98,0.5,16,0,0,Normal transaction in rent
entertainment,1388.42,1.72,23,1,0,Normal transaction in entertainment
rent,16792.09,1.48,11,1,0,Normal transaction in rent
education,2453.21,1.39,14,0,0,Normal transaction in education
health,403.92,1.07,11,0,0,Normal transaction in health
entertainment,1259.18,0.44,22,1,0,Normal transaction in entertainment
health,6056.48,1.47,12,0,0,Normal transaction in health
shopping,10851.49,1.38,11,1,0,Normal transaction in shopping
health,30483.56,5.33,15,1,1,Unusual high spike in health
food,2010.71,0.8,23,0,0,Normal transaction in food
food,21191.85,6.26,26,1,1,Unusual high spike in food
rent,10856.1,1.52,18,0,0,Normal transaction in rent
health,4162.05,0.62,19,1,0,Normal transaction in health
rent,19479.12,1.13,26,1,0,Normal transaction in rent
transport,2177.82,0.61,26,1,0,Normal transaction in transport
education,17225.63,1.05,13,0,0,Normal transaction in education
transport,1773.36,0.54,5,1,0,Normal transaction in transport
entertainment,1572.84,0.5,9,1,0,Normal transaction in entertainment
health,4166.2,0.91,27,1,0,Normal transaction in health
health,2494.0,0.73,28,0,0,Normal transaction in health
health,4916.4,1.51,23,1,0,Normal transaction in health
education,16418.19,0.75,2,1,0,Normal transaction in education
entertainment,1656.48,0.51,14,1,0,Normal transaction in entertainment
transport,819.12,1.56,18,1,0,Normal transaction in transport
rent,32552.86,0.61,9,0,0,Normal transaction in rent
health,3970.46,1.78,8,1,0,Normal transaction in health
other,2363.83,0.36,7,1,0,Normal transaction in other
entertainment,2187.47,0.5,26,0,0,Normal transaction in entertainment
transport,2795.67,1.12,8,0,0,Normal transaction in transport
shopping,12674.78,1.27,5,0,0,Normal transaction in shopping
entertainment,637.52,1.5,28,1,0,Normal transaction in entertainment
other,3844.14,0.38,19,1,0,Normal transaction in other
health,7499.91,0.3,14,1,0,Normal transaction in health
health,3547.93,0.9,13,0,0,Normal transaction in health
other,4630.67,0.89,20,1,0,Normal transaction in other
transport,13646.06,5.96,26,0,1,Unusual high spike in transport
entertainment,1671.7,1.74,21,0,0,Normal transaction in entertainment
health,5742.66,1.1,15,1,0,Normal transaction in health
other,267.89,1.09,16,1,0,Normal transaction in other
rent,5780.21,1.4,26,0,0,Normal transaction in rent
shopping,12339.78,0.62,28,1,0,Normal transaction in shopping
transport,1823.62,0.39,26,1,0,Normal transaction in transport
other,1632.71,1.68,15,0,0,Normal transaction in other
rent,13575.36,1.35,4,0,0,Normal transaction in rent
other,370.57,1.5,5,0,0,Normal transaction in other
entertainment,1796.85,0.59,25,1,0,Normal transaction in entertainment
other,30689.7,4.25,2,0,1,Unusual high spike in other
health,4879.54,0.38,2,1,0,Normal transaction in health
rent,18575.59,1.17,19,0,0,Normal transaction in rent
shopping,14297.81,1.58,6,0,0,Normal transaction in shopping
shopping,6527.55,0.77,12,0,0,Normal transaction in shopping
entertainment,543.33,0.43,21,1,0,Normal transaction in entertainment
health,216.49,0.98,17,1,0,Normal transaction in health
shopping,3012.34,0.72,18,0,0,Normal transaction in shopping
health,6177.73,0.31,4,1,0,Normal transaction in health
food,1818.99,0.48,19,1,0,Normal transaction in food
health,589.13,1.2,10,1,0,Normal transaction in health
transport,606.69,0.64,3,1,0,Normal transaction in transport
food,986.52,1.13,24,1,0,Normal transaction in food
entertainment,855.29,0.58,13,1,0,Normal transaction in entertainment
education,7284.69,1.44,5,0,0,Normal transaction in education
education,18344.48,1.12,7,0,0,Normal transaction in education
transport,27039.65,3.05,12,0,1,Unusual high spike in transport
transport,3478.15,0.62,24,0,0,Normal transaction in transport
food,1251.27,0.96,18,1,0,Normal transaction in food
food,2948.5,0.88,17,0,0,Normal transaction in food
education,13300.26,1.43,14,1,0,Normal transaction in education
education,14427.05,0.52,6,0,0,Normal transaction in education
entertainment,478.38,0.46,21,0,0,Normal transaction in entertainment
transport,3968.94,0.39,4,0,0,Normal transaction in transport
shopping,8232.51,0.98,23,0,0,Normal transaction in shopping
shopping,6930.77,1.29,3,0,0,Normal transaction in shopping
transport,4277.09,1.68,14,1,0,Normal transaction in transport
food,161.93,1.46,24,1,0,Normal transaction in food
rent,6388.56,1.15,5,0,0,Normal transaction in rent
entertainment,2959.69,1.25,15,1,0,Normal transaction in entertainment
entertainment,634.13,0.64,15,1,0,Normal transaction in entertainment
shopping,6825.93,1.2,3,1,0,Normal transaction in shopping
education,6718.47,0.66,11,0,0,Normal transaction in education
other,1202.54,0.32,17,1,0,Normal transaction in other
shopping,69801.75,4.89,6,1,1,Unusual high spike in shopping
other,4136.14,0.51,10,0,0,Normal transaction in other
education,21981.36,1.45,3,0,0,Normal transaction in education
education,699.8,1.67,26,0,0,Normal transaction in education
rent,11823.85,0.83,12,0,0,Normal transaction in rent
entertainment,836.54,0.46,17,0,0,Normal transaction in entertainment
food,3495.98,0.85,27,1,0,Normal transaction in food
transport,1263.05,1.49,6,0,0,Normal transaction in transport
health,4712.58,1.77,11,1,0,Normal transaction in health
health,4969.61,1.39,17,1,0,Normal transaction in health
other,4863.49,1.3,21,1,0,Normal transaction in other
education,14223.42,1.63,20,0,0,Normal transaction in education
entertainment,651.42,1.65,5,0,0,Normal transaction in entertainment
rent,40381.28,0.95,16,1,0,Normal transaction in rent
transport,1126.18,0.26,20,1,0,Normal transaction in transport
education,3130.28,1.74,2,0,0,Normal transaction in education
rent,28228.9,0.73,15,0,0,Normal transaction in rent
rent,37684.8,0.25,20,1,0,Normal transaction in rent
rent,40535.3,0.24,22,0,0,Normal transaction in rent
shopping,13837.5,1.52,7,1,0,Normal transaction in shopping
food,2695.32,0.23,4,0,0,Normal transaction in food
transport,2479.4,0.59,27,0,0,Normal transaction in transport
food,1305.55,0.68,9,1,0,Normal transaction in food
rent,11405.96,0.58,13,0,0,Normal transaction in rent
transport,3002.28,0.41,24,0,0,Normal transaction in transport
education,11231.33,0.59,25,1,0,Normal transaction in education
food,1882.13,1.54,9,1,0,Normal transaction in food
entertainment,2909.86,1.18,1,1,0,Normal transaction in entertainment
health,6852.54,0.55,7,1,0,Normal transaction in health
rent,19714.19,1.56,20,1,0,Normal transaction in rent
shopping,5655.55,1.75,21,1,0,Normal transaction in shopping
transport,532.74,0.72,21,0,0,Normal transaction in transport
entertainment,1520.9,1.79,13,1,0,Normal transaction in entertainment
shopping,4575.19,0.84,11,0,0,Normal transaction in shopping
food,2999.74,0.85,5,0,0,Normal transaction in food
entertainment,2540.93,1.12,4,0,0,Normal transaction in entertainment
transport,2845.52,0.88,23,0,0,Normal transaction in transport
food,500.89,1.29,10,1,0,Normal transaction in food
shopping,5235.17,0.56,9,0,0,Normal transaction in shopping
education,5802.0,1.48,22,1,0,Normal transaction in education
rent,25133.31,1.71,17,1,0,Normal transaction in rent
shopping,10955.63,1.78,5,1,0,Normal transaction in shopping
other,32536.06,3.39,5,1,1,Unusual high spike in other
food,367.06,0.29,19,0,0,Normal transaction in food
health,5701.5,0.44,9,0,0,Normal transaction in health
other,4280.89,1.16,26,1,0,Normal transaction in other
health,48461.58,6.09,26,0,1,Unusual high spike in health
education,763.97,1.57,18,1,0,Normal transaction in education
shopping,3405.64,1.28,23,0,0,Normal transaction in shopping
education,14866.51,1.6,1,1,0,Normal transaction in education
shopping,10352.01,0.51,22,0,0,Normal transaction in shopping
food,942.75,1.57,14,0,0,Normal transaction in food
rent,35335.49,0.76,2,1,0,Normal transaction in rent
health,2968.74,1.39,13,0,0,Normal transaction in health
shopping,7727.64,0.33,16,1,0,Normal transaction in shopping
health,2470.14,1.21,14,0,0,Normal transaction in health
health,23026.96,5.93,23,1,1,Unusual high spike in health
health,6841.18,1.52,17,0,0,Normal transaction in health
rent,21053.08,0.71,7,0,0,Normal transaction in rent
food,3194.5,0.98,6,1,0,Normal transaction in food
rent,38356.99,0.63,8,0,0,Normal transaction in rent
rent,41566.66,0.85,23,1,0,Normal transaction in rent
education,19687.77,1.07,10,1,0,Normal transaction in education
shopping,1664.99,1.68,10,1,0,Normal transaction in shopping
entertainment,2928.58,1.29,1,0,0,Normal transaction in entertainment
entertainment,1773.25,0.55,5,1,0,Normal transaction in entertainment
health,1969.63,1.56,2,0,0,Normal transaction in health
entertainment,1859.5,1.59,15,0,0,Normal transaction in entertainment
shopping,571.93,1.58,15,0,0,Normal transaction in shopping
transport,802.72,0.66,27,1,0,Normal transaction in transport
transport,967.81,1.27,25,0,0,Normal transaction in transport
rent,23112.48,0.97,9,0,0,Normal transaction in rent
rent,22385.17,1.68,15,1,0,Normal transaction in rent
food,3369.09,1.58,20,1,0,Normal transaction in food
entertainment,2809.61,0.25,19,1,0,Normal transaction in entertainment
health,6774.47,0.7,6,1,0,Normal transaction in health
shopping,82248.68,4.64,8,0,1,Unusual high spike in shopping
rent,37264.73,0.48,17,0,0,Normal transaction in rent
entertainment,1483.16,0.89,26,1,0,Normal transaction in entertainment
other,3454.18,1.49,13,0,0,Normal transaction in other
entertainment,2208.77,1.23,19,1,0,Normal transaction in entertainment
transport,692.55,1.47,28,1,0,Normal transaction in transport
shopping,17431.2,0.75,25,0,0,Normal transaction in shopping
transport,22444.65,4.32,12,1,1,Unusual high spike in transport
entertainment,1287.0,0.22,16,0,0,Normal transaction in entertainment
transport,4244.66,1.76,23,1,0,Normal transaction in transport
rent,30259.06,1.14,11,1,0,Normal transaction in rent
rent,29385.04,1.43,5,0,0,Normal transaction in rent
rent,6020.8,0.4,8,1,0,Normal transaction in rent
health,978.23,0.95,6,1,0,Normal transaction in health
transport,26208.93,6.92,11,0,1,Unusual high spike in transport
food,3045.48,0.92,10,0,0,Normal transaction in food
rent,21533.02,1.15,25,1,0,Normal transaction in rent
food,2619.81,1.34,3,1,0,Normal transaction in food
food,983.69,0.76,5,0,0,Normal transaction in food
rent,37186.85,0.44,23,1,0,Normal transaction in rent
shopping,11350.68,1.19,27,0,0,Normal transaction in shopping
shopping,6467.24,0.31,28,1,0,Normal transaction in shopping
food,1791.5,1.03,23,1,0,Normal transaction in food
food,2401.08,1.67,12,1,0,Normal transaction in food
shopping,6772.97,0.22,22,1,0,Normal transaction in shopping
food,593.29,1.49,5,1,0,Normal transaction in food
education,3817.83,0.68,19,1,0,Normal transaction in education
other,3786.3,0.72,15,1,0,Normal transaction in other
transport,2941.43,1.05,9,0,0,Normal transaction in transport
shopping,2906.24,0.42,6,0,0,Normal transaction in shopping
health,37610.86,4.07,16,0,1,Unusual high spike in health
food,11983.28,6.14,11,0,1,Unusual high spike in food
rent,38591.92,1.64,2,0,0,Normal transaction in rent
education,11495.27,0.55,11,1,0,Normal transaction in education
food,3093.55,0.33,6,0,0,Normal transaction in food
rent,14782.48,0.93,18,0,0,Normal transaction in rent
health,2043.61,1.02,13,0,0,Normal transaction in health
other,36124.45,3.42,14,1,1,Unusual high spike in other
other,29439.14,3.25,25,0,1,Unusual high spike in other
transport,2430.24,0.34,9,1,0,Normal transaction in transport
transport,4089.33,1.66,26,0,0,Normal transaction in transport
health,835.35,1.52,1,1,0,Normal transaction in health
health,4175.7,1.28,1,1,0,Normal transaction in health
entertainment,826.87,0.6,16,1,0,Normal transaction in entertainment
other,2028.22,1.57,20,1,0,Normal transaction in other
food,438.64,0.41,1,1,0,Normal transaction in food
food,880.89,0.47,15,0,0,Normal transaction in food
other,4780.11,1.22,10,1,0,Normal transaction in other
shopping,10792.97,0.7,9,0,0,Normal transaction in shopping
health,3602.7,1.2,8,1,0,Normal transaction in health
food,3000.25,1.28,1,0,0,Normal transaction in food
health,4962.68,0.9,7,1,0,Normal transaction in health
shopping,15683.54,1.41,23,1,0,Normal transaction in shopping
education,23818.39,1.16,3,1,0,Normal transaction in education
food,1720.58,1.57,25,1,0,Normal transaction in food
rent,5807.08,1.3,25,1,0,Normal transaction in rent
shopping,13616.66,1.57,14,1,0,Normal transaction in shopping
food,924.72,0.99,11,1,0,Normal transaction in food
entertainment,1405.81,1.2,11,1,0,Normal transaction in entertainment
education,20564.52,1.68,27,1,0,Normal transaction in education
transport,522.59,0.92,13,1,0,Normal transaction in transport
entertainment,2586.06,0.95,20,0,0,Normal transaction in entertainment
education,11835.92,0.29,5,1,0,Normal transaction in education
education,14794.05,1.26,23,1,0,Normal transaction in education
education,1108.11,0.32,27,1,0,Normal transaction in education
other,3989.13,1.15,10,1,0,Normal transaction in other
other,801.83,0.47,22,1,0,Normal transaction in other
shopping,94668.87,5.84,23,0,1,Unusual high spike in shopping
food,2838.39,1.52,14,1,0,Normal transaction in food
shopping,6886.69,0.91,8,1,0,Normal transaction in shopping
health,4949.98,1.68,6,0,0,Normal transaction in health
education,14367.02,0.98,19,1,0,Normal transaction in education
rent,21107.31,1.34,6,1,0,Normal transaction in rent
entertainment,2164.95,1.78,6,0,0,Normal transaction in entertainment
rent,14068.36,0.38,23,1,0,Normal transaction in rent
transport,1753.61,0.51,4,0,0,Normal transaction in transport
other,1302.42,1.19,17,1,0,Normal transaction in other
education,105648.84,5.72,21,0,1,Unusual high spike in education
health,2598.35,0.97,28,0,0,Normal transaction in health
food,222.49,1.79,24,0,0,Normal transaction in food
rent,34350.64,0.87,13,1,0,Normal transaction in rent
health,4589.94,1.79,18,0,0,Normal transaction in health
other,1843.5,1.69,2,1,0,Normal transaction in other
rent,8296.16,0.69,21,0,0,Normal transaction in rent
entertainment,1842.18,1.44,24,1,0,Normal transaction in entertainment
health,7282.71,1.77,14,1,0,Normal transaction in health
rent,23395.86,0.32,16,0,0,Normal transaction in rent
transport,2762.19,1.28,21,0,0,Normal transaction in transport
health,4291.33,1.47,3,0,0,Normal transaction in health
rent,15682.78,0.92,23,0,0,Normal transaction in rent
health,2933.59,1.38,13,0,0,Normal transaction in health
transport,203.97,0.2,24,0,0,Normal transaction in transport
food,1819.27,1.22,12,1,0,Normal transaction in food
rent,12026.05,0.96,23,0,0,Normal transaction in rent
rent,40029.14,0.53,2,1,0,Normal transaction in rent
other,528.08,0.6,21,1,0,Normal transaction in other
food,1519.87,0.96,3,1,0,Normal transaction in food
food,202.67,1.56,13,0,0,Normal transaction in food
